index,lambda,price,conv,secp,segment
1,6.21379848466904,728408.7605960764,0.2587634651602647,-2.77130255089619e-7,SUV
2,6.7545938774380945,595179.9300860736,0.31325878277566593,-2.572912534881056e-7,SUV
3,6.424352276179667,671369.2503476178,0.28223654399868225,-2.6960757969488343e-7,SUV
4,6.610861524671831,626527.067174509,0.30057398625063264,-2.627075733338826e-7,SUV
5,6.5003613951848775,652492.1222815255,0.28997635561123036,-2.6681722305434536e-7,SUV
6,6.564084694736813,637311.7088990782,0.29618036897761874,-2.644541078177306e-7,SUV
7,6.526743428043678,646137.5719670225,0.29257587934776247,-2.6584129613687353e-7,SUV
8,6.548424015564824,640989.4569042684,0.29467927476368966,-2.650366883848258e-7,SUV
9,6.535767825666557,643986.6583313905,0.29345498686643634,-2.65506660155786e-7,SUV
10,6.543132792499452,642239.7740343064,0.294168651385711,-2.652332644127454e-7,SUV
11,6.538839059678587,643257.2699581269,0.2937530024140681,-2.653926842903207e-7,SUV
12,6.541339611263648,642664.3934417763,0.29399520531808504,-2.6529985329596895e-7,SUV
13,6.539882452738739,643009.7763704266,0.2938541128803268,-2.6535395280401873e-7,SUV
14,6.540731282194326,642808.5463289712,0.2939363187494592,-2.6532243979433824e-7,SUV
15,6.5402367144679685,642925.780045785,0.2938884272550884,-2.6534080116786177e-7,SUV
16,6.540524837311227,642857.4784216142,0.2939163295103499,-2.653301044315875e-7,SUV
17,6.5403569720884,642897.270679956,0.2939000738186699,-2.6533633657882856e-7,SUV
18,6.540454769112788,642874.0875260716,0.29390954447780454,-2.6533270579286696e-7,SUV
19,6.540397791911444,642887.5940233364,0.2939040268812207,-2.653348211186667e-7,SUV
20,6.540430986740159,642879.7251036003,0.2939072414491203,-2.6533358873504725e-7,SUV
